date_surveyed,user_id,state,municipio,hour_wait
2020-10-22 11:42:03.517 UTC,6309256048934912,Distrito Capital,Libertador,1
2020-10-22 11:41:30.117 UTC,6215603213303808,Distrito Capital,Libertador,2
2020-10-22 11:40:55.747 UTC,6215603213303808,Distrito Capital,Libertador,1
2020-10-22 11:20:50.197 UTC,5342124906381312,Táchira,Cárdenas,5
2020-10-22 11:14:56.070 UTC,6705812452147200,Miranda,Chacao,2
2020-10-22 11:14:22.507 UTC,5661969237934080,Miranda,Carrizal,2
2020-10-22 11:14:15.615 UTC,5227588691165184,Miranda,Baruta,8
2020-10-22 11:13:47.823 UTC,5236776634679296,Distrito Capital,Libertador,2
2020-10-22 11:13:28.887 UTC,4881881079480320,Zulia,Maracaibo,8
2020-10-22 11:12:51.942 UTC,5480351171870720,Miranda,Chacao,6
2020-10-22 11:04:22.583 UTC,6437918271340544,Miranda,Carrizal,3
2020-10-22 10:46:07.020 UTC,6315716867522560,Miranda,Guaicaipuro,3
2020-10-22 10:41:24.341 UTC,4733886109581312,Distrito Capital,Libertador,5
2020-10-22 10:29:18.261 UTC,6589511974780928,Miranda,Guaicaipuro,5
2020-10-22 02:07:29.260 UTC,5425690080182272,Táchira,Cárdenas,3
2020-10-22 00:55:47.629 UTC,6001144530993152,Miranda,Guaicaipuro,3
2020-10-22 00:07:41.236 UTC,5905870596079616,Miranda,Guaicaipuro,2
2020-10-21 23:05:02.789 UTC,4772558245724160,Miranda,Guaicaipuro,2
2020-10-21 22:51:58.459 UTC,6722563904897024,Distrito Capital,Libertador,1
2020-10-21 22:50:56.549 UTC,6722563904897024,Distrito Capital,Libertador,1
2020-10-21 22:38:59.758 UTC,5239548907094016,Distrito Capital,Libertador,11
2020-10-21 22:38:10.607 UTC,4949382245122048,Táchira,Guasimos,12
2020-10-21 22:27:36.250 UTC,6672412586541056,Distrito Capital,Libertador,3
2020-10-21 22:26:56.601 UTC,5754274632171520,Distrito Capital,Libertador,10
2020-10-21 22:00:46.132 UTC,6114725210619904,Táchira,Guasimos,8
2020-10-21 21:48:55.846 UTC,6060089233637376,Táchira,Guasimos,36
2020-10-21 21:44:53.452 UTC,5911396560666624,Distrito Capital,Libertador,3
2020-10-21 21:35:21.684 UTC,5227588691165184,Miranda,Chacao,8
2020-10-21 21:31:41.757 UTC,5480351171870720,Miranda,Chacao,6
